province_code,province_name,province_type,city_code,city_name,city_type,district_code,district_name,district_type
23,黑龙江省,省,2310,牡丹江市,地级市,231085,穆棱市,县级市
23,黑龙江省,省,2310,牡丹江市,地级市,231086,东宁市,县级市
23,黑龙江省,省,2311,黑河市,地级市,231102,爱辉区,市辖区
23,黑龙江省,省,2311,黑河市,地级市,231123,逊克县,县
23,黑龙江省,省,2311,黑河市,地级市,231124,孙吴县,县
23,黑龙江省,省,2311,黑河市,地级市,231181,北安市,县级市
23,黑龙江省,省,2311,黑河市,地级市,231182,五大连池市,县级市
23,黑龙江省,省,2311,黑河市,地级市,231183,嫩江市,县级市
23,黑龙江省,省,2312,绥化市,地级市,231202,北林区,市辖区
23,黑龙江省,省,2312,绥化市,地级市,231221,望奎县,县
23,黑龙江省,省,2312,绥化市,地级市,231222,兰西县,县
23,黑龙江省,省,2312,绥化市,地级市,231223,青冈县,县
23,黑龙江省,省,2312,绥化市,地级市,231224,庆安县,县
23,黑龙江省,省,2312,绥化市,地级市,231225,明水县,县
23,黑龙江省,省,2312,绥化市,地级市,231226,绥棱县,县
23,黑龙江省,省,2312,绥化市,地级市,231281,安达市,县级市
23,黑龙江省,省,2312,绥化市,地级市,231282,肇东市,县级市
23,黑龙江省,省,2312,绥化市,地级市,231283,海伦市,县级市
23,黑龙江省,省,2327,大兴安岭地区,地区,232701,漠河市,县级市
23,黑龙江省,省,2327,大兴安岭地区,地区,232721,呼玛县,县
